Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,ISO3
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",422,Lebanon,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,94.02353,95.10718,95.04904,,LBN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",422,Lebanon,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,95.37037,96.17613,95.94438,,LBN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",450,Madagascar,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,4.43792,5.32854,,,MDG
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",450,Madagascar,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,0.40847,0.12372,,,MDG
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",450,Madagascar,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,5.58041,5.98765,,,MDG
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",450,Madagascar,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,9.23318,8.0222,,,MDG
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",458,Malaysia,LOWSEC,G,PERCENT,,,,,,,,,,,,97.58635,,,,,100,100,100,100,100,,MYS
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",458,Malaysia,PRIMAR,G,PERCENT,,,,,,,,,,,,90.20723,,,,,100,100,100,100,100,,MYS
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",458,Malaysia,SECOND,G,PERCENT,,,,,,,,,,,,96.40288,,,,,100,100,97.48603,97.53746,97.67041,,MYS
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",458,Malaysia,UPPSEC,G,PERCENT,,,,,,,,,,,,95.24777,,,,,100,100,95.97958,96.08696,96.40069,,MYS
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",462,Maldives,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,100,99.02913,99.5122,,,
